Category,Part,URL (if avalilable),Qty,Cost,Total Cost,Owned?,Thumbnail,Thumbnail Link
ECU,MoTeC M150 (Developer Package),https://www.fischermotorsports.com/fm-store/electrical-systems/motec-products/m1-series-ecus/m1-ecus/motec-m150-ecu/,1,"$7,200.00","$7,200.00",TRUE,,https://www.fischermotorsports.com/wp-content/uploads/2016/12/M150.jpg
Connectors,DTM 2 Pin Female,https://www.te.com/usa-en/product-DTM04-2P.html,15,$1.50,$22.50,FALSE,,https://www.te.com/content/dam/te-com/catalog/part/00D/TM0/42P/DTM04-2P-t1.jpg/jcr:content/renditions/product-details.png?w=220
Connectors,DTM 3 Pin Female,https://www.te.com/usa-en/product-DTM04-3P.html,15,$2.24,$33.60,FALSE,,https://www.te.com/content/dam/te-com/catalog/part/00D/TM0/43P/DTM04-3P-t1.jpg/jcr:content/renditions/product-details.png?w=220
Connectors,DTM 4 Pin Female,https://www.te.com/usa-en/product-DTM04-4P.html,15,$2.64,$39.60,FALSE,,https://www.te.com/content/dam/te-com/catalog/part/00D/TM0/44P/DTM04-4P-t1.jpg/jcr:content/renditions/product-details.png?w=220
Connectors,DTM 6 Pin Female,https://www.te.com/usa-en/product-DTM04-6P.html,15,$3.00,$45.00,FALSE,,https://www.te.com/content/dam/te-com/catalog/part/00D/TM0/46P/DTM04-6P-t1.jpg/jcr:content/renditions/product-details.png?w=220
Connectors,DTM 2 Pin Male,https://www.te.com/usa-en/product-DTM06-2S.html,15,$0.88,$13.20,FALSE,,https://www.te.com/content/dam/te-com/catalog/part/00D/TM0/62S/DTM06-2S-t1.jpg/jcr:content/renditions/product-details.png?w=220
Connectors,DTM 3 Pin Male,https://www.te.com/usa-en/product-DTM06-3S.html?compatible=DTM04-3P,15,$1.92,$28.80,FALSE,,https://www.te.com/content/dam/te-com/catalog/part/00D/TM0/63S/DTM06-3S-t1.jpg/jcr:content/renditions/product-details.png?w=220
Connectors,DTM 4 Pin Male,https://www.te.com/usa-en/product-DTM06-4S.html,15,$2.08,$31.20,FALSE,,https://www.te.com/content/dam/te-com/catalog/part/00D/TM0/64S/DTM06-4S-t1.jpg/jcr:content/renditions/product-details.png?w=220
Connectors,DTM 6 Pin Male,https://www.te.com/usa-en/product-DTM06-6S.html,3,$2.08,$6.24,FALSE,,https://www.te.com/content/dam/te-com/catalog/part/00D/TM0/66S/DTM06-6S-t1.jpg/jcr:content/renditions/product-details.png?w=220
Connectors,DTM 2 Pin Female Wedgelock,https://www.te.com/usa-en/product-WM-2P.html,15,$0.04,$0.60,FALSE,,https://www.te.com/content/dam/te-com/catalog/part/000/00W/M2P/WM-2P-t1.jpg/jcr:content/renditions/product-details.png?w=220
Connectors,DTM 3 Pin Female Wedgelock,https://www.te.com/usa-en/product-WM-3P.html,15,$0.11,$1.65,FALSE,,https://www.te.com/content/dam/te-com/catalog/part/000/00W/M3P/WM-3P-t1.jpg/jcr:content/renditions/product-details.png?w=220
Connectors,DTM 4 Pin Female Wedgelock,WM-4P : DEUTSCH Automotive Connector Locks & Position Assurance | TE Connectivity,15,$0.15,$2.25,FALSE,,https://www.te.com/content/dam/te-com/catalog/part/000/00W/M4P/WM-4P-t1.jpg/jcr:content/renditions/product-details.png?w=220
Connectors,DTM 6 Pin Female Wedgelock,https://www.te.com/usa-en/product-WM-6P.html,3,$0.26,$0.78,FALSE,,https://www.te.com/content/dam/te-com/catalog/part/000/00W/M6P/WM-6P-t1.jpg/jcr:content/renditions/product-details.png?w=220
Connectors,DTM 2 Pin Male Wedgelock,https://www.te.com/usa-en/product-WM-2S.html,15,$0.13,$1.95,FALSE,,https://www.te.com/content/dam/te-com/catalog/part/000/00W/M2S/WM-2S-t1.jpg/jcr:content/renditions/product-details.png?w=220
Connectors,DTM 3 Pin Male Wedgelock,https://www.te.com/usa-en/product-WM-3S.html,15,$0.17,$2.55,FALSE,,https://www.te.com/content/dam/te-com/catalog/part/000/00W/M3S/WM-3S-t1.jpg/jcr:content/renditions/product-details.png?w=220
Connectors,DTM 4 Pin Male Wedgelock,https://www.te.com/usa-en/product-WM-4S.html,15,$0.21,$3.15,FALSE,,https://www.te.com/content/dam/te-com/catalog/part/000/00W/M4S/WM-4S-t1.jpg/jcr:content/renditions/product-details.png?w=220
Connectors,DTM 6 Pin Male Wedgelock,https://www.te.com/usa-en/product-WM-6S.html,2,$0.26,$0.52,FALSE,,
Connectors,DTM Female Crimps,https://www.te.com/usa-en/product-1062-20-0222.html?compatible=DTM06-4S,128,$0.25,$32.00,FALSE,,
Connectors,DTM Male Crimps,https://www.te.com/usa-en/product-1060-20-0222.html?compatible=DTM04-2P,128,$0.25,$32.00,FALSE,,
Wiring,Wiring (assorted colors),https://www.milspecwiring.com/100ft-Rolls_c_923.html,10,$27.10,$271.00,FALSE,,
Sensors,Liquid Temp Sensors,https://www.t1racedevelopment.com/product/t1-motorsport-fluid-temp-sensor/,3,$55.00,$165.00,FALSE,,
Sensors,Liquid Pressure Sensors (2000psi),https://www.t1racedevelopment.com/product/100psi-compound-range-dtm-racegrade-pressure-transducer/,2,$165.00,$330.00,FALSE,,
Sensors,Liquid Pressure Sensors (100psi),https://www.t1racedevelopment.com/product/100psi-compound-range-dtm-racegrade-pressure-transducer/,2,$165.00,$330.00,FALSE,,
Sensors,TMAP Sensor,https://www.summitracing.com/parts/bch-0261230333,1,$22.99,$22.99,TRUE,,https://www.oreillyauto.com/detail/c/bosch/lighting---electrical/sensors/engine---drivetrain-sensors/manifold-absolute-pressure--map--sensor/ac3982e63173/bosch-multi-purpose-sensor/bos0/0261230333v
Sensors,Izze Racing Tire Temp Sensor,,1,$375.00,$375.00,FALSE,,
ECU,MoTeC IGN4 Module,https://www.fischermotorsports.com/fm-store/electrical-systems/motec-products/ignition/ign4/,1,$285.00,$285.00,TRUE,,
ECU,MoTeC LSU 4.9 Lambda Module,https://www.milspecwiring.com/MoTeC-Lambda-to-CAN-LTC_p_187.html,1,$465.00,$465.00,TRUE,,
HID,Misc Switches,,1,$60.00,$60.00,FALSE,,
HID,Kill Switch,https://www.amazon.com/HELLA-002843011-Rating-Battery-Master/dp/B0000AYAFE,1,$21.39,$21.39,FALSE,,
HID,E-Stop Button,,1,$20.00,$20.00,TRUE,,
Sensors,Thermocouple Amplifiers,,1,$100.00,$100.00,FALSE,,
Sensors,Thermocouples (Type K),,4,$20.00,$80.00,FALSE,,
HID,Driver Comms headset,,1,$120.00,$120.00,FALSE,,
Macro,Battery,,1,$400.00,$400.00,FALSE,,
Peripherals,Fuel Pump Control Kit,,2,$15.00,$30.00,FALSE,,
Wiring,Heat Shrink,,2,$5.00,$10.00,FALSE,,
DAQ,Data Aquisition,,1,"$1,500.00","$1,500.00",FALSE,,
DAQ,Camera System,,1,"$1,500.00","$1,500.00",TRUE,,
DAQ,TI Tiva,,2,$25.00,$50.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
,,,,,$0.00,FALSE,,
